Geo_NAME,Geo_QName,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,Geo_TRACT,SE_T001_001,SE_T005_001,SE_T005_002,SE_T005_003,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_T008_005,SE_T008_006,SE_T008_007,SE_T008_008,SE_T008_009,SE_T008_010,SE_T008_011,SE_T008_012,SE_T008_013,SE_T012_001,SE_T012_002,SE_T012_003,SE_T012_004,SE_T012_005,SE_T012_006,SE_T015_001,SE_T015_002,SE_T015_003,SE_T015_004,SE_T015_005,SE_T015_006,SE_T015_007,SE_T015_008,SE_T015_009,SE_T015_010,SE_T015_011,SE_T015_012,SE_T016_001,SE_T016_002,SE_T016_003,SE_T016_004,SE_T016_005,SE_T016_006,SE_T016_007,SE_T016_008,SE_T016_009,SE_T022_001,SE_T022_002,SE_T022_003,SE_T022_004,SE_T022_005,SE_T022_006,SE_T025_001,SE_T025_002,SE_T025_003,SE_T025_004,SE_T025_005,SE_T025_006,SE_T025_007,SE_T025_008,SE_T026_001,SE_T026_002,SE_T026_003,SE_T026_004,SE_T026_005,SE_T026_006,SE_T026_007,SE_T027_001,SE_T027_002,SE_T027_003,SE_T027_004,SE_T027_005,SE_T027_006,SE_T027_007,SE_T044_001,SE_T045_001,SE_T045_002,SE_T045_003,SE_T045_004,SE_T045_005,SE_T045_006,SE_T073_001,SE_T073_002,SE_T073_003
"Tract 2.01","Tract 2.01, New York County, New York","140","00","1","2","36061000201","36","061","000201",3381,3381,1634,1747,3381,233,227,311,193,476,526,498,358,299,182,64,14,3381,684,486,3,1253,955,1253,1195,0,2,6,2,20,0,0,0,0,28,998,820,432,388,67,321,178,69,109,1923,1146,391,257,80,49,2561,2561,1370,0,1370,1187,183,1191,1172,727,0,727,618,109,445,1389,643,0,643,569,74,746,19656.6074672048,19656.6074672048,22350.037037037,25760.126984127,,19759.4749262537,15186.6193548387,999,0,999
"Tract 6","Tract 6, New York County, New York","140","00","1","2","36061000600","36","061","000600",11996,11996,5845,6151,11996,629,715,897,557,1268,1959,1797,1156,1233,1009,554,222,11996,1867,1306,27,7082,1714,7076,6940,6,4,25,7,42,2,0,0,8,42,3736,2670,1721,949,204,745,1066,411,655,7869,5050,1547,689,518,65,9589,9589,5305,0,5305,4786,519,4284,4623,2940,0,2940,2675,265,1683,4966,2365,0,2365,2111,254,2601,22439.5523427042,22439.5523427042,19949.6950444727,27571.5351758794,8756,23634.9926035503,17845.1176470588,3736,118,3618
"Tract 8","Tract 8, New York County, New York","140","00","1","2","36061000800","36","061","000800",9904,9904,4901,5003,9904,496,490,590,387,985,1525,1485,1117,1140,998,555,136,9904,1865,36,3,7930,70,7927,7873,7,1,3,4,10,1,0,3,5,20,3453,2401,1848,553,211,342,1052,404,648,7011,4387,1516,611,360,137,8245,8245,5019,0,5019,4678,341,3226,3990,2734,0,2734,2547,187,1256,4255,2285,0,2285,2131,154,1970,25115.6124637681,25115.6124637681,24226.4949954504,20633.525,,25288.1162687887,40752.7551020408,3460,53,3407
"Tract 14.02","Tract 14.02, New York County, New York","140","00","1","2","36061001402","36","061","001402",2957,2957,1495,1462,2957,180,194,220,114,325,550,434,262,258,241,143,36,2957,1131,365,11,882,568,882,810,2,7,6,9,9,0,0,0,0,39,1195,652,339,313,77,236,543,279,264,1896,1204,273,195,130,94,2307,2307,1171,0,1171,1058,113,1136,1157,741,0,741,669,72,416,1150,430,0,430,389,41,720,16654.9331641286,16654.9331641286,15576.1981308411,16379.5123966942,,15030.6657060519,23213.9832402235,1195,17,1178
"Tract 16","Tract 16, New York County, New York","140","00","1","2","36061001600","36","061","001600",8709,8709,4610,4099,8709,392,357,486,340,939,1400,1386,994,1173,772,375,95,8709,763,83,13,7669,181,7667,7585,9,10,2,9,13,0,0,0,0,39,2650,1985,1564,421,153,268,665,335,330,6199,3797,1107,553,521,221,7399,7399,4785,27,4758,4372,386,2614,3890,2626,27,2599,2432,167,1264,3509,2159,0,2159,1940,219,1350,28010.2859877489,28010.2859877489,42293.1516587678,13369.2307692308,,27036.3675582399,21423.0175438596,2650,192,2458
"Tract 18","Tract 18, New York County, New York","140","00","1","2","36061001800","36","061","001800",9247,9247,5144,4103,9247,545,501,593,413,1069,1664,1603,1004,893,642,261,59,9247,1400,464,24,6479,880,6474,6344,3,7,53,21,4,1,0,0,0,41,2666,1883,1367,516,183,333,783,513,270,5872,4004,718,650,359,141,7581,7581,4792,9,4783,4449,334,2789,4258,2748,9,2739,2586,153,1510,3323,2044,0,2044,1863,181,1279,25130.0022650057,25130.0022650057,27708.5232067511,15030.5165562914,,26113.1576524741,20214.1958041958,2666,65,2601
"Tract 25","Tract 25, New York County, New York","140","00","1","2","36061002500","36","061","002500",6005,6005,2699,3306,6005,330,401,497,385,748,820,796,611,670,484,198,65,6005,1034,1317,21,2151,1482,2149,2027,10,1,26,0,11,0,0,0,0,74,1872,1364,666,698,89,609,508,159,349,3639,2536,587,359,142,15,4722,4722,2112,13,2099,1744,355,2610,2044,1157,13,1144,927,217,887,2678,955,0,955,817,138,1723,17275.2327252626,17275.2327252626,15063.208,19687.8602941176,6000,18508.3013293944,16014.53125,1950,0,1950
"Tract 27","Tract 27, New York County, New York","140","00","1","2","36061002700","36","061","002700",1335,1335,600,735,1335,31,33,30,27,72,225,156,100,226,226,173,36,1335,530,47,0,745,13,745,722,1,2,1,3,9,0,0,0,0,7,616,328,241,87,32,55,288,84,204,1156,442,219,163,229,103,1207,1207,621,0,621,556,65,586,476,267,0,267,250,17,209,731,354,0,354,306,48,377,32954.5974643423,32954.5974643423,40044.5607476635,33714.0410958904,,23117.8143459916,,620,252,368
"Tract 29","Tract 29, New York County, New York","140","00","1","2","36061002900","36","061","002900",7058,7058,4087,2971,7058,208,208,230,175,789,1404,1123,665,909,773,422,152,7058,890,636,5,5180,347,5179,5142,3,6,7,1,4,0,0,0,4,12,2162,1379,1036,343,128,215,783,357,426,5522,3226,990,551,413,342,6401,6401,2691,0,2691,2581,110,3710,3766,1420,0,1420,1346,74,2346,2635,1271,0,1271,1235,36,1364,26169.8474654378,26169.8474654378,53670.2445255474,75942,,21967.8951271186,,2162,302,1860
"Tract 30.01","Tract 30.01, New York County, New York","140","00","1","2","36061003001","36","061","003001",4007,4007,2262,1745,4007,287,250,249,157,472,1145,662,335,231,149,55,15,4007,1829,431,79,1032,636,1025,685,1,25,85,6,1,0,0,0,0,222,1539,694,374,320,98,222,845,567,278,2473,1184,311,427,438,113,3103,3103,2059,0,2059,1792,267,1044,1720,1323,0,1323,1173,150,397,1383,736,0,736,619,117,647,25065.0606060606,25065.0606060606,29429.7795275591,17465.0454545455,6109.09090909091,24798.2591362126,16651.7425742574,1513,24,1489
