Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,Geo_STATECE,Geo_COUNTYSC,Geo_COUSUB,Geo_TRACT,SE_T001_001,SE_T005_001,SE_T005_002,SE_T005_003,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_T008_005,SE_T008_006,SE_T008_007,SE_T008_008,SE_T008_009,SE_T008_010,SE_T008_011,SE_T008_012,SE_T008_013,SE_T014_001,SE_T014_002,SE_T014_003,SE_T014_004,SE_T014_005,SE_T014_006,SE_T014_007,SE_T014_008,SE_T019_001,SE_T019_002,SE_T019_003,SE_T019_004,SE_T019_005,SE_T019_006,SE_T019_007,SE_T019_008,SE_T019_009,SE_T019_010,SE_T019_011,SE_T019_012,SE_T019_013,SE_T019_014,SE_T019_015,SE_T019_016,SE_T019_017,SE_T019_018,SE_T019_019,SE_T020_001,SE_T020_002,SE_T020_003,SE_T020_004,SE_T020_005,SE_T020_006,SE_T020_007,SE_T020_008,SE_T020_009,SE_T040_001,SE_T040_002,SE_T040_003,SE_T040_004,SE_T040_005,SE_T040_006,SE_T040_007,SE_T040_008,SE_T069_001,SE_T069_002,SE_T069_003,SE_T069_004,SE_T069_005,SE_T069_006,SE_T069_007,SE_T070_001,SE_T070_002,SE_T070_003,SE_T070_004,SE_T070_005,SE_T070_006,SE_T070_007,SE_T071_001,SE_T071_002,SE_T071_003,SE_T071_004,SE_T071_005,SE_T071_006,SE_T071_007,SE_T092_001,SE_T092_002,SE_T092_003,SE_T092_004,SE_T092_005,SE_T092_006,SE_T092_007,SE_T092_008,SE_T092_009,SE_T092_010,SE_T092_011,SE_T092_012,SE_T092_013,SE_T092_014,SE_T092_015,SE_T092_016,SE_T092_017,SE_T096_001,SE_T097_001,SE_T097_002,SE_T097_003,SE_T097_004,SE_T097_005,SE_T097_006,SE_T097_007,SE_T097_008,SE_T097_009,SE_T097_010,SE_T156_001,SE_T156_002,SE_T156_003
"Census Tract 2.01","Census Tract 2.01, New York County, New York","65194","0          ","140","00","1","2","36061000201","36","061","21","21",,"000201",3329,3329,1620,1709,3329,200,214,241,158,427,494,494,421,309,225,116,30,3329,721,381,19,1444,6,601,157,1430,15,0,0,1389,2,0,1,2,3,0,5,0,0,0,0,12,0,1,1045,762,401,361,60,301,283,107,176,2115,1216,428,178,200,46,41,6,2693,1398,0,1398,1223,175,1295,1259,785,0,785,654,131,474,1434,613,0,613,569,44,821,1046,313,92,96,77,45,89,37,43,52,72,60,41,14,7,8,0,29879.5411089866,29879.5411089866,29911.6541353383,23593.9393939394,,37336.5994236311,,19157.1428571429,32302,25643.1102362205,43170.4918032787,1045,7,1038
"Census Tract 6","Census Tract 6, New York County, New York","193080","0          ","140","00","1","2","36061000600","36","061","21","21",,"000600",12276,12276,5930,6346,12276,644,667,757,495,1305,1786,1862,1632,1085,1060,707,276,12276,1597,1033,37,7840,11,1263,495,7794,169,14,0,7485,7,0,0,3,7,0,52,10,0,2,0,17,12,16,4011,2829,1760,1069,232,837,1182,441,741,8461,5126,1472,1007,612,149,65,30,10114,5024,0,5024,4454,570,5090,4705,2622,0,2622,2292,330,2083,5409,2402,0,2402,2162,240,3007,4009,1248,534,268,262,241,229,223,117,158,229,251,133,45,14,43,14,28993.4148166625,28993.4148166625,25859.0733590734,32555.1401869159,45431.25,29339.3639879673,,29472.6269315673,29053.0434782609,26284.3349753695,31064.1638225256,4011,120,3891
"Census Tract 8","Census Tract 8, New York County, New York","197145","0          ","140","00","1","2","36061000800","36","061","21","21",,"000800",10917,10917,5459,5458,10917,527,476,642,359,1101,1691,1829,1540,1047,974,546,185,10917,1134,96,2,9424,3,71,187,9337,30,0,0,9200,11,0,0,8,2,0,37,2,0,5,1,21,4,16,3644,2539,1907,632,239,393,1105,452,653,7802,5147,1224,679,467,221,49,15,9154,5152,0,5152,4705,447,4002,4545,2858,0,2858,2602,256,1687,4609,2294,0,2294,2103,191,2315,3649,674,437,321,385,240,243,178,175,141,270,236,125,98,69,35,22,37306.5223348863,37306.5223348863,37631.5561959654,36156.25,,37539.8868458274,,11177.7777777778,34905.7692307692,38488.9655172414,36239.6258503401,3644,129,3515
"Census Tract 14.02","Census Tract 14.02, New York County, New York","110095","0          ","140","00","1","2","36061001402","36","061","21","21",,"001402",3019,3019,1478,1541,3019,124,185,183,109,302,672,422,311,233,198,194,86,3019,942,156,20,1009,0,710,182,999,28,8,0,928,5,0,1,18,3,0,1,0,0,1,1,1,0,4,1301,607,336,271,59,212,694,328,366,2092,1142,264,303,292,74,7,10,2453,1469,0,1469,1370,99,984,1167,801,0,801,746,55,366,1286,668,0,668,624,44,618,1307,331,208,134,96,66,62,38,46,55,97,70,40,49,6,2,7,32747.895944912,32747.895944912,35094.1972920696,37013.5593220339,8560,22730.0699300699,325,52306.7632850242,23468.8311688312,29850.1234567901,41110.2564102564,1301,41,1260
"Census Tract 16","Census Tract 16, New York County, New York","208114","0          ","140","00","1","2","36061001600","36","061","21","21",,"001600",9598,9598,5050,4548,9598,349,391,496,338,1027,1713,1658,1320,792,890,462,162,9598,643,45,10,8610,1,89,200,8524,37,0,0,8383,9,0,4,19,18,0,8,0,0,8,0,18,2,18,3146,2095,1591,504,188,316,1051,545,506,7004,4513,905,549,748,208,73,8,8267,4861,0,4861,4437,424,3406,4303,2755,0,2755,2581,174,1548,3964,2106,0,2106,1856,250,1858,3156,622,357,332,341,136,165,157,156,109,208,175,155,88,70,40,45,39732.0659062104,39732.0659062104,48448.3146067416,11993.1034482759,65433.3333333333,38644.9824287388,,59653.3333333333,27472.9411764706,18291.3043478261,54372.4137931034,3146,229,2917
"Census Tract 18","Census Tract 18, New York County, New York","210236","0          ","140","00","1","2","36061001800","36","061","21","21",,"001800",10157,10157,5572,4585,10157,483,449,557,398,1177,1949,1824,1433,779,667,361,80,10157,1399,302,15,7403,4,767,267,7308,30,15,0,7117,8,0,6,29,34,0,13,0,0,3,0,14,18,21,3089,1936,1396,540,234,306,1153,703,450,7122,4626,1081,705,433,214,52,11,8600,5430,0,5430,4666,764,3170,4700,3245,0,3245,2775,470,1455,3900,2185,0,2185,1891,294,1715,3094,640,346,305,207,283,228,123,162,147,221,110,150,39,54,79,0,34924.7252747253,34924.7252747253,46050.4672897196,20350.8928571429,11311.1111111111,31366.8763102725,,39608.3700440529,28042.5,30431.6397228637,51889.1268533773,3089,87,3002
"Census Tract 25","Census Tract 25, New York County, New York","105393","0          ","140","00","1","2","36061002500","36","061","21","21",,"002500",5209,5209,2304,2905,5209,249,359,374,248,515,590,610,649,604,577,340,94,5209,1067,997,22,2073,0,866,184,2064,38,10,0,1998,1,0,0,2,0,0,0,0,0,0,1,4,0,10,1882,1290,619,671,108,563,592,175,417,3476,2303,634,343,150,25,11,10,4148,1643,0,1643,1360,283,2505,1722,738,0,738,594,144,984,2426,905,0,905,766,139,1521,1882,670,356,182,159,125,63,33,44,55,100,42,30,3,7,6,7,22044.8459086079,22044.8459086079,19501.3071895425,34296.2837837838,6520,21302.2222222222,,18031.4121037464,13789.0909090909,19963.7305699482,13545.1327433628,1882,19,1863
"Census Tract 27","Census Tract 27, New York County, New York","60005","0          ","140","00","1","2","36061002700","36","061","21","21",,"002700",1517,1517,720,797,1517,51,47,68,29,103,182,245,232,130,209,149,72,1517,319,29,1,1136,0,12,20,1127,6,0,0,1100,2,0,0,6,5,0,7,0,0,0,0,0,1,0,663,363,264,99,34,65,300,105,195,1261,667,263,91,145,59,17,19,1353,647,0,647,603,44,706,650,361,0,361,341,20,289,703,286,0,286,262,24,417,650,136,87,24,47,46,68,14,32,18,42,26,32,41,15,4,18,42863.3846153846,42863.3846153846,57091.6201117318,8200,,36110.199556541,,,99900,14011.1111111111,59372.3529411765,663,376,287
"Census Tract 29","Census Tract 29, New York County, New York","307305","0          ","140","00","1","2","36061002900","36","061","21","21",,"002900",7422,7422,4408,3014,7422,181,245,236,159,724,1375,1338,1056,658,772,500,178,7422,956,901,5,5297,2,192,69,5274,22,0,0,5103,14,0,0,8,2,0,41,0,0,3,1,14,0,66,2246,1389,1040,349,132,217,857,350,507,5856,3890,798,452,562,94,50,10,6726,2462,0,2462,2307,155,4264,4097,1252,0,1252,1158,94,2845,2629,1210,0,1210,1149,61,1419,2245,632,241,236,180,154,142,116,105,36,98,137,58,57,34,12,7,30404.4097995546,30404.4097995546,51540.5405405405,68491.6666666667,,28051.2110726644,,86500,30438.8888888889,86500,51540.5405405405,2246,322,1924
"Census Tract 30.01","Census Tract 30.01, New York County, New York","116611","0          ","140","00","1","2","36061003001","36","061","21","21",,"003001",4275,4275,2335,1940,4275,143,162,207,112,552,1379,819,484,210,142,56,9,4275,1876,167,27,1239,1,709,256,1212,185,84,0,813,12,0,3,54,22,0,1,1,0,1,5,6,4,21,1985,657,391,266,90,176,1328,770,558,3208,1143,329,460,800,405,71,0,3913,2802,0,2802,2588,214,1111,2233,1710,0,1710,1595,115,523,1680,1092,0,1092,993,99,588,2118,365,193,142,141,140,81,182,140,110,189,168,192,25,19,0,31,42550.1416430595,42550.1416430595,48139.6468699839,30082.2916666667,,35144.7191011236,,30938.0753138075,45844.5652173913,28608.0357142857,51037,1985,71,1914
