"Area Name-Legal/Statistical Area Description","Qualifying Name","FIPS","Summary Level","Geographic Component","State (FIPS)","County","County Size Code","County Subdivision (FIPS)","Census Tract","Total Population","Total Population","Population Density (per sq. mile)","Area (Land)","Area Total","Area Total: Area (Land)","Area Total: Area (Water)","Total population","Total population: White alone","Total population: Black or African American alone","Total population: American Indian and Alaska Native alone","Total population: Asian alone","Total population: Native Hawaiian and Other Pacific Islander alone","Total population: Some Other Race alone","Total population: Two or More Races","Total Asian with one Asian category only","Total Asian with one Asian category only: Asian Indian","Total Asian with one Asian category only: Bangladeshi","Total Asian with one Asian category only: Bhutanese","Total Asian with one Asian category only: Burmese","Total Asian with one Asian category only: Cambodian","Total Asian with one Asian category only: Chinese (except Taiwanese)","Total Asian with one Asian category only: Filipino","Total Asian with one Asian category only: Hmong","Total Asian with one Asian category only: Indonesian","Total Asian with one Asian category only: Japanese","Total Asian with one Asian category only: Korean","Total Asian with one Asian category only: Laotian","Total Asian with one Asian category only: Malaysian","Total Asian with one Asian category only: Nepalese","Total Asian with one Asian category only: Pakistani","Total Asian with one Asian category only: Sri Lankan","Total Asian with one Asian category only: Taiwanese","Total Asian with one Asian category only: Thai","Total Asian with one Asian category only: Vietnamese","Total Asian with one Asian category only: Other Asian, specified","Total Asian with one Asian category only: Other Asian, not specified","Occupied housing units","Occupied housing units: Owner Occupied","Occupied housing units: Renter occupied"
Geo_NAME,Geo_QName,Geo_FIPS,Geo_SUMLEV,Geo_GEOCOMP,Geo_STATE,Geo_COUNTY,Geo_COUNTYSC,Geo_COUSUB,Geo_TRACT,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_006,SE_T02A_001,SE_T02A_002,SE_T02A_003,SE_T054_001,SE_T054_002,SE_T054_003,SE_T054_004,SE_T054_005,SE_T054_006,SE_T054_007,SE_T054_008,SE_T057_001,SE_T057_002,SE_T057_003,SE_T057_004,SE_T057_005,SE_T057_006,SE_T057_007,SE_T057_008,SE_T057_009,SE_T057_010,SE_T057_011,SE_T057_012,SE_T057_013,SE_T057_014,SE_T057_015,SE_T057_016,SE_T057_017,SE_T057_018,SE_T057_019,SE_T057_020,SE_T057_021,SE_T057_022,SE_T069_001,SE_T069_002,SE_T069_003
"Census Tract 2.01","Census Tract 2.01, New York County, New York","36061000201","140","00","36","061","21",,"000201",3058,3058,87802.05,0.0348283466950426,0.06918024,0.03482835,0.0343519,3058,777,433,16,1266,2,453,111,1251,10,7,0,0,0,1202,4,0,1,7,3,0,4,0,4,0,5,0,4,0,0,1015,4,1011
"Census Tract 6","Census Tract 6, New York County, New York","36061000600","140","00","36","061","21",,"000600",11367,11367,115978.3,0.0980097205083576,0.166973,0.09800972,0.06896325,11367,1708,1006,48,7253,5,998,349,7167,55,8,0,9,0,6886,19,1,1,17,43,3,60,0,6,5,14,3,24,0,13,4036,142,3894
"Census Tract 8","Census Tract 8, New York County, New York","36061000800","140","00","36","061","21",,"000800",10290,10290,122462.3,0.0840258719345418,0.1533146,0.08402587,0.06928874,10290,964,83,1,9069,2,66,105,9016,39,4,0,8,0,8832,17,0,0,19,11,2,37,0,1,0,13,3,20,0,10,3583,143,3440
"Census Tract 14.02","Census Tract 14.02, New York County, New York","36061001402","140","00","36","061","21",,"001402",2782,2782,63084.16,0.044099818223096,0.04409982,0.04409982,0,2782,1142,206,21,880,0,418,115,874,28,0,0,0,0,760,5,0,2,41,18,0,3,0,2,0,5,0,10,0,0,1375,73,1302
"Census Tract 16","Census Tract 16, New York County, New York","36061001600","140","00","36","061","21",,"001600",8478,8478,105431.1,0.0804127277809781,0.08041273,0.08041273,0,8478,1117,87,8,7058,2,76,130,6982,51,5,0,5,0,6733,17,0,4,38,30,1,31,1,2,0,20,5,23,0,16,3168,247,2921
"Census Tract 18","Census Tract 18, New York County, New York","36061001800","140","00","36","061","21",,"001800",8660,8660,100733.4,0.0859695102834453,0.08596951,0.08596951,0,8660,2338,317,19,5281,0,475,230,5233,82,17,0,7,2,4827,25,0,8,49,67,0,63,0,15,2,17,8,32,1,11,3199,213,2986
"Census Tract 22.01","Census Tract 22.01, New York County, New York","36061002201","140","00","36","061","21",,"002201",6398,6398,102498.6,0.0624203664264082,0.06242037,0.06242037,0,6398,2349,984,66,1553,3,1148,295,1535,64,37,0,0,1,1267,62,0,8,30,39,0,2,0,10,0,6,0,2,2,5,2641,372,2269
"Census Tract 25","Census Tract 25, New York County, New York","36061002500","140","00","36","061","21",,"002500",4869,4869,94273.27,0.0516477296419906,0.0931985,0.05164773,0.04155077,4869,965,1028,26,1919,5,748,178,1905,26,35,0,1,0,1818,4,0,0,2,3,0,0,0,2,0,4,1,0,0,9,1883,11,1872
"Census Tract 27","Census Tract 27, New York County, New York","36061002700","140","00","36","061","21",,"002700",1264,1264,54743.07,0.0230896822687982,0.02308968,0.02308968,0,1264,254,14,0,978,0,3,15,972,4,0,0,0,0,941,2,0,1,3,4,0,5,0,0,0,4,2,3,0,3,612,362,250
