"FIPS","Name of Area","Qualifying Name","State FIPS code","County FIPS code","Full Census Tract FIPS code","Census Tract FIPS code","SUFFTRT","SMSA FIPS code","Place FIPS code","Urban Area FIPS code","Total Population","Total Population","White","Black","Some Other Race","% White","% Black","% Some Other Race","White Families","White Families: Above poverty level","White Families: Below poverty level","% White Families: Above poverty level","% White Families: Below poverty level","Black Families","Black Families: Above poverty level","Black Families: Below poverty level","% Black Families: Above poverty level","% Black Families: Below poverty level","Other Race Families","Other Race Families: Above poverty level","Other Race Families: Below poverty level","% Other Race Families: Above poverty level","% Other Race Families: Below poverty level","Count of Persons of Foreign Stock","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage)","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): United Kingdom","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Ireland","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Norway","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Sweden","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Denmark","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Netherlands","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Switzerland","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): France","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Germany","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Poland","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Czechoslovakia","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Austria","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Hungary","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Yugoslavia","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): U.S.S.R.","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Lithuania","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Finland","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Rumania","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Greece","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Italy","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Portugal","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Other Europe","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Southwest Asia","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): China","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Japan","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Other Asia","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Canada","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Mexico","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Cuba","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Other America","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Africa","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): All other","Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Not reported","Count of Persons of Foreign Stock: Foreign born","Count of Persons of Foreign Stock: Foreign born: United Kingdom","Count of Persons of Foreign Stock: Foreign born: Ireland","Count of Persons of Foreign Stock: Foreign born: Norway","Count of Persons of Foreign Stock: Foreign born: Sweden","Count of Persons of Foreign Stock: Foreign born: Denmark","Count of Persons of Foreign Stock: Foreign born: Netherlands","Count of Persons of Foreign Stock: Foreign born: Switzerland","Count of Persons of Foreign Stock: Foreign born: France","Count of Persons of Foreign Stock: Foreign born: Germany","Count of Persons of Foreign Stock: Foreign born: Poland","Count of Persons of Foreign Stock: Foreign born: Czechoslovakia","Count of Persons of Foreign Stock: Foreign born: Austria","Count of Persons of Foreign Stock: Foreign born: Hungary","Count of Persons of Foreign Stock: Foreign born: Yugoslavia","Count of Persons of Foreign Stock: Foreign born: U.S.S.R.","Count of Persons of Foreign Stock: Foreign born: Lithuania","Count of Persons of Foreign Stock: Foreign born: Finland","Count of Persons of Foreign Stock: Foreign born: Rumania","Count of Persons of Foreign Stock: Foreign born: Greece","Count of Persons of Foreign Stock: Foreign born: Italy","Count of Persons of Foreign Stock: Foreign born: Portugal","Count of Persons of Foreign Stock: Foreign born: Other Europe","Count of Persons of Foreign Stock: Foreign born: Southwest Asia","Count of Persons of Foreign Stock: Foreign born: China","Count of Persons of Foreign Stock: Foreign born: Japan","Count of Persons of Foreign Stock: Foreign born: Other Asia","Count of Persons of Foreign Stock: Foreign born: Canada","Count of Persons of Foreign Stock: Foreign born: Mexico","Count of Persons of Foreign Stock: Foreign born: Cuba","Count of Persons of Foreign Stock: Foreign born: Other America","Count of Persons of Foreign Stock: Foreign born: Africa","Count of Persons of Foreign Stock: Foreign born: All other","Count of Persons of Foreign Stock: Foreign born: Not reported","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage)","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): United Kingdom","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Ireland","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Norway","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Sweden","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Denmark","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Netherlands","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Switzerland","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): France","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Germany","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Poland","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Czechoslovakia","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Austria","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Hungary","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Yugoslavia","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): U.S.S.R.","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Lithuania","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Finland","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Rumania","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Greece","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Italy","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Portugal","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Other Europe","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Southwest Asia","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): China","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Japan","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Other Asia","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Canada","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Mexico","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Cuba","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Other America","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Africa","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): All other","% Count of Persons of Foreign Stock: Native (of foreign or mixed parentage): Not reported","% Count of Persons of Foreign Stock: Foreign born","% Count of Persons of Foreign Stock: Foreign born: United Kingdom","% Count of Persons of Foreign Stock: Foreign born: Ireland","% Count of Persons of Foreign Stock: Foreign born: Norway","% Count of Persons of Foreign Stock: Foreign born: Sweden","% Count of Persons of Foreign Stock: Foreign born: Denmark","% Count of Persons of Foreign Stock: Foreign born: Netherlands","% Count of Persons of Foreign Stock: Foreign born: Switzerland","% Count of Persons of Foreign Stock: Foreign born: France","% Count of Persons of Foreign Stock: Foreign born: Germany","% Count of Persons of Foreign Stock: Foreign born: Poland","% Count of Persons of Foreign Stock: Foreign born: Czechoslovakia","% Count of Persons of Foreign Stock: Foreign born: Austria","% Count of Persons of Foreign Stock: Foreign born: Hungary","% Count of Persons of Foreign Stock: Foreign born: Yugoslavia","% Count of Persons of Foreign Stock: Foreign born: U.S.S.R.","% Count of Persons of Foreign Stock: Foreign born: Lithuania","% Count of Persons of Foreign Stock: Foreign born: Finland","% Count of Persons of Foreign Stock: Foreign born: Rumania","% Count of Persons of Foreign Stock: Foreign born: Greece","% Count of Persons of Foreign Stock: Foreign born: Italy","% Count of Persons of Foreign Stock: Foreign born: Portugal","% Count of Persons of Foreign Stock: Foreign born: Other Europe","% Count of Persons of Foreign Stock: Foreign born: Southwest Asia","% Count of Persons of Foreign Stock: Foreign born: China","% Count of Persons of Foreign Stock: Foreign born: Japan","% Count of Persons of Foreign Stock: Foreign born: Other Asia","% Count of Persons of Foreign Stock: Foreign born: Canada","% Count of Persons of Foreign Stock: Foreign born: Mexico","% Count of Persons of Foreign Stock: Foreign born: Cuba","% Count of Persons of Foreign Stock: Foreign born: Other America","% Count of Persons of Foreign Stock: Foreign born: Africa","% Count of Persons of Foreign Stock: Foreign born: All other","% Count of Persons of Foreign Stock: Foreign born: Not reported"
Geo_FIPS,Geo_NAME,Geo_QName,Geo_State,Geo_COUNTY,Geo_TractCode,Geo_TRACT,Geo_SUFFTRT,Geo_METROARA,Geo_PLACE,Geo_URBANARA,SE_T001_001,SE_T012_001,SE_T012_002,SE_T012_003,SE_T012_004,PCT_SE_T012_002,PCT_SE_T012_003,PCT_SE_T012_004,SE_T089_001,SE_T089_002,SE_T089_003,PCT_SE_T089_002,PCT_SE_T089_003,SE_T090_001,SE_T090_002,SE_T090_003,PCT_SE_T090_002,PCT_SE_T090_003,SE_T091_001,SE_T091_002,SE_T091_003,PCT_SE_T091_002,PCT_SE_T091_003,SE_T134_001,SE_T134_002,SE_T134_003,SE_T134_004,SE_T134_005,SE_T134_006,SE_T134_007,SE_T134_008,SE_T134_009,SE_T134_010,SE_T134_011,SE_T134_012,SE_T134_013,SE_T134_014,SE_T134_015,SE_T134_016,SE_T134_017,SE_T134_018,SE_T134_019,SE_T134_020,SE_T134_021,SE_T134_022,SE_T134_023,SE_T134_024,SE_T134_025,SE_T134_026,SE_T134_027,SE_T134_028,SE_T134_029,SE_T134_030,SE_T134_031,SE_T134_032,SE_T134_033,SE_T134_034,SE_T134_035,SE_T134_036,SE_T134_037,SE_T134_038,SE_T134_039,SE_T134_040,SE_T134_041,SE_T134_042,SE_T134_043,SE_T134_044,SE_T134_045,SE_T134_046,SE_T134_047,SE_T134_048,SE_T134_049,SE_T134_050,SE_T134_051,SE_T134_052,SE_T134_053,SE_T134_054,SE_T134_055,SE_T134_056,SE_T134_057,SE_T134_058,SE_T134_059,SE_T134_060,SE_T134_061,SE_T134_062,SE_T134_063,SE_T134_064,SE_T134_065,SE_T134_066,SE_T134_067,SE_T134_068,SE_T134_069,PCT_SE_T134_002,PCT_SE_T134_003,PCT_SE_T134_004,PCT_SE_T134_005,PCT_SE_T134_006,PCT_SE_T134_007,PCT_SE_T134_008,PCT_SE_T134_009,PCT_SE_T134_010,PCT_SE_T134_011,PCT_SE_T134_012,PCT_SE_T134_013,PCT_SE_T134_014,PCT_SE_T134_015,PCT_SE_T134_016,PCT_SE_T134_017,PCT_SE_T134_018,PCT_SE_T134_019,PCT_SE_T134_020,PCT_SE_T134_021,PCT_SE_T134_022,PCT_SE_T134_023,PCT_SE_T134_024,PCT_SE_T134_025,PCT_SE_T134_026,PCT_SE_T134_027,PCT_SE_T134_028,PCT_SE_T134_029,PCT_SE_T134_030,PCT_SE_T134_031,PCT_SE_T134_032,PCT_SE_T134_033,PCT_SE_T134_034,PCT_SE_T134_035,PCT_SE_T134_036,PCT_SE_T134_037,PCT_SE_T134_038,PCT_SE_T134_039,PCT_SE_T134_040,PCT_SE_T134_041,PCT_SE_T134_042,PCT_SE_T134_043,PCT_SE_T134_044,PCT_SE_T134_045,PCT_SE_T134_046,PCT_SE_T134_047,PCT_SE_T134_048,PCT_SE_T134_049,PCT_SE_T134_050,PCT_SE_T134_051,PCT_SE_T134_052,PCT_SE_T134_053,PCT_SE_T134_054,PCT_SE_T134_055,PCT_SE_T134_056,PCT_SE_T134_057,PCT_SE_T134_058,PCT_SE_T134_059,PCT_SE_T134_060,PCT_SE_T134_061,PCT_SE_T134_062,PCT_SE_T134_063,PCT_SE_T134_064,PCT_SE_T134_065,PCT_SE_T134_066,PCT_SE_T134_067,PCT_SE_T134_068,PCT_SE_T134_069
"06075010600","106","Census Tract 106, San Francisco County, California","06","075","010600","0106",,"7360",,,4405,4405,1447,43,2915,32.85,0.98,66.17,183,164,19,89.62,10.38,0,0,0,,,756,691,65,91.4,8.6,3257,1220,30,21,7,0,0,0,0,0,14,30,0,0,0,0,14,0,0,6,0,102,0,0,8,884,15,27,15,21,0,0,0,8,18,2037,24,0,0,0,0,0,6,43,0,0,0,0,0,0,0,0,0,0,0,187,0,9,0,1418,0,304,7,6,0,15,0,7,11,37.46,0.92,0.64,0.21,0,0,0,0,0,0.43,0.92,0,0,0,0,0.43,0,0,0.18,0,3.13,0,0,0.25,27.14,0.46,0.83,0.46,0.64,0,0,0,0.25,0.55,62.54,0.74,0,0,0,0,0,0.18,1.32,0,0,0,0,0,0,0,0,0,0,0,5.74,0,0.28,0,43.54,0,9.33,0.21,0.18,0,0.46,0,0.21,0.34
"06075010700","107","Census Tract 107, San Francisco County, California","06","075","010700","0107",,"7360",,,5598,5598,1008,77,4513,18.01,1.38,80.62,222,191,31,86.04,13.96,6,0,6,0,100,1137,861,276,75.73,24.27,4900,1462,6,6,8,0,0,0,0,20,10,0,0,0,12,0,0,0,0,0,0,147,0,18,10,1092,7,91,0,13,0,7,8,7,0,3438,16,0,0,0,0,0,0,53,0,0,0,0,0,0,6,0,0,0,8,176,7,43,7,2476,15,524,21,16,0,0,0,18,52,29.84,0.12,0.12,0.16,0,0,0,0,0.41,0.2,0,0,0,0.24,0,0,0,0,0,0,3,0,0.37,0.2,22.29,0.14,1.86,0,0.27,0,0.14,0.16,0.14,0,70.16,0.33,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0.12,0,0,0,0.16,3.59,0.14,0.88,0.14,50.53,0.31,10.69,0.43,0.33,0,0,0,0.37,1.06
"06075010800","108","Census Tract 108, San Francisco County, California","06","075","010800","0108",,"7360",,,6103,6103,1905,0,4198,31.21,0,68.79,394,380,14,96.45,3.55,,,,,,1257,1107,150,88.07,11.93,4350,1824,48,22,13,9,0,6,0,0,22,24,15,0,5,0,17,0,6,8,0,55,0,14,6,1388,28,16,38,0,4,20,0,0,60,2526,76,0,7,20,0,6,0,19,38,0,0,0,21,0,7,0,20,0,0,34,0,21,0,1658,6,428,71,12,19,13,0,10,40,41.93,1.1,0.51,0.3,0.21,0,0.14,0,0,0.51,0.55,0.34,0,0.11,0,0.39,0,0.14,0.18,0,1.26,0,0.32,0.14,31.91,0.64,0.37,0.87,0,0.09,0.46,0,0,1.38,58.07,1.75,0,0.16,0.46,0,0.14,0,0.44,0.87,0,0,0,0.48,0,0.16,0,0.46,0,0,0.78,0,0.48,0,38.11,0.14,9.84,1.63,0.28,0.44,0.3,0,0.23,0.92
"06075010900","109","Census Tract 109, San Francisco County, California","06","075","010900","0109",,"7360",,,4960,4960,3276,42,1642,66.05,0.85,33.1,681,636,45,93.39,6.61,9,9,0,100,0,499,451,48,90.38,9.62,2730,1393,69,63,12,13,21,6,31,33,49,12,7,19,0,0,41,8,7,0,7,208,6,17,9,622,11,7,36,7,0,11,6,6,49,1337,56,7,16,14,13,0,37,50,63,0,8,12,0,0,5,0,0,0,0,154,0,21,0,614,6,114,62,0,0,15,0,13,57,51.03,2.53,2.31,0.44,0.48,0.77,0.22,1.14,1.21,1.79,0.44,0.26,0.7,0,0,1.5,0.29,0.26,0,0.26,7.62,0.22,0.62,0.33,22.78,0.4,0.26,1.32,0.26,0,0.4,0.22,0.22,1.79,48.97,2.05,0.26,0.59,0.51,0.48,0,1.36,1.83,2.31,0,0.29,0.44,0,0,0.18,0,0,0,0,5.64,0,0.77,0,22.49,0.22,4.18,2.27,0,0,0.55,0,0.48,2.09
"06075011000","110","Census Tract 110, San Francisco County, California","06","075","011000","0110",,"7360",,,5306,5306,1804,34,3468,34,0.64,65.36,271,247,24,91.14,8.86,7,7,0,100,0,1014,856,158,84.42,15.58,3740,1590,20,8,6,21,0,0,6,27,19,13,0,0,13,7,7,6,9,9,0,35,0,7,10,1106,0,130,67,44,0,7,0,13,0,2150,46,8,0,7,0,0,0,12,31,0,5,0,0,6,14,0,0,0,13,20,0,0,29,1381,20,409,57,7,6,31,0,0,48,42.51,0.53,0.21,0.16,0.56,0,0,0.16,0.72,0.51,0.35,0,0,0.35,0.19,0.19,0.16,0.24,0.24,0,0.94,0,0.19,0.27,29.57,0,3.48,1.79,1.18,0,0.19,0,0.35,0,57.49,1.23,0.21,0,0.19,0,0,0,0.32,0.83,0,0.13,0,0,0.16,0.37,0,0,0,0.35,0.53,0,0,0.78,36.93,0.53,10.94,1.52,0.19,0.16,0.83,0,0,1.28
"06075011100","111","Census Tract 111, San Francisco County, California","06","075","011100","0111",,"7360",,,4976,4976,3075,73,1828,61.8,1.47,36.74,384,346,38,90.1,9.9,7,7,0,100,0,542,470,72,86.72,13.28,2689,1171,67,47,20,30,6,0,6,23,73,22,0,7,0,8,27,6,11,0,8,25,0,41,13,467,53,57,48,19,0,0,9,14,64,1518,64,7,8,34,7,0,7,26,70,12,0,7,7,16,25,0,0,0,0,8,11,26,0,658,48,239,53,33,6,62,0,13,71,43.55,2.49,1.75,0.74,1.12,0.22,0,0.22,0.86,2.71,0.82,0,0.26,0,0.3,1,0.22,0.41,0,0.3,0.93,0,1.52,0.48,17.37,1.97,2.12,1.79,0.71,0,0,0.33,0.52,2.38,56.45,2.38,0.26,0.3,1.26,0.26,0,0.26,0.97,2.6,0.45,0,0.26,0.26,0.6,0.93,0,0,0,0,0.3,0.41,0.97,0,24.47,1.79,8.89,1.97,1.23,0.22,2.31,0,0.48,2.64
"06075011300","113","Census Tract 113, San Francisco County, California","06","075","011300","0113",,"7360",,,3831,3831,608,40,3183,15.87,1.04,83.09,70,64,6,91.43,8.57,0,0,0,,,904,712,192,78.76,21.24,3195,1070,0,20,0,24,0,0,0,0,7,0,0,0,0,0,39,0,0,0,0,7,0,8,0,889,0,23,24,16,0,0,0,8,5,2125,14,0,6,0,0,0,0,7,17,0,0,0,8,0,0,0,0,0,0,18,14,30,6,1537,21,373,23,6,13,0,0,0,32,33.49,0,0.63,0,0.75,0,0,0,0,0.22,0,0,0,0,0,1.22,0,0,0,0,0.22,0,0.25,0,27.82,0,0.72,0.75,0.5,0,0,0,0.25,0.16,66.51,0.44,0,0.19,0,0,0,0,0.22,0.53,0,0,0,0.25,0,0,0,0,0,0,0.56,0.44,0.94,0.19,48.11,0.66,11.67,0.72,0.19,0.41,0,0,0,1
"06075011400","114","Census Tract 114, San Francisco County, California","06","075","011400","0114",,"7360",,,3697,3697,85,0,3612,2.3,0,97.7,12,6,6,50,50,,,,,,956,766,190,80.13,19.87,3415,1117,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1038,21,26,17,4,0,0,0,0,0,2298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1951,0,307,18,0,16,0,0,0,6,32.71,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,30.4,0.61,0.76,0.5,0.12,0,0,0,0,0,67.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.13,0,8.99,0.53,0,0.47,0,0,0,0.18
"06075011500","115","Census Tract 115, San Francisco County, California","06","075","011500","0115",,"7360",,,950,950,90,19,841,9.47,2,88.53,0,0,0,,,,,,,,69,64,5,92.75,7.25,688,220,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,179,0,21,0,0,0,0,0,6,0,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,139,0,0,0,0,0,0,0,31.98,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,26.02,0,3.05,0,0,0,0,0,0.87,0,68.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.82,0,20.2,0,0,0,0,0,0,0
